name,img,level
Koromon,https://digimon.shadowsmith.com/img/koromon.jpg,In Training
Tsunomon,https://digimon.shadowsmith.com/img/tsunomon.jpg,In Training
Yokomon,https://digimon.shadowsmith.com/img/yokomon.jpg,In Training
Motimon,https://digimon.shadowsmith.com/img/motimon.jpg,In Training
Tanemon,https://digimon.shadowsmith.com/img/tanemon.jpg,In Training
Bukamon,https://digimon.shadowsmith.com/img/bukamon.jpg,In Training
Tokomon,https://digimon.shadowsmith.com/img/tokomon.jpg,In Training
Agumon,https://digimon.shadowsmith.com/img/agumon.jpg,Rookie
Gabumon,https://digimon.shadowsmith.com/img/gabumon.jpg,Rookie
Biyomon,https://digimon.shadowsmith.com/img/biyomon.jpg,Rookie
Tentomon,https://digimon.shadowsmith.com/img/tentomon.jpg,Rookie
Palmon,https://digimon.shadowsmith.com/img/palmon.jpg,Rookie
Gomamon,https://digimon.shadowsmith.com/img/gomamon.jpg,Rookie
Patamon,https://digimon.shadowsmith.com/img/patamon.jpg,Rookie
Kuwagamon,https://digimon.shadowsmith.com/img/kuwagamon.jpg,Champion
Greymon,https://digimon.shadowsmith.com/img/greymon.jpg,Champion
Shellmon,https://digimon.shadowsmith.com/img/shellmon.jpg,Champion
Garurumon,https://digimon.shadowsmith.com/img/garurumon.jpg,Champion
Seadramon,https://digimon.shadowsmith.com/img/seadramon.jpg,Champion
Monochromon,https://digimon.shadowsmith.com/img/monochromon.jpg,Champion
Birdramon,https://digimon.shadowsmith.com/img/birdramon.jpg,Champion
Meramon,https://digimon.shadowsmith.com/img/meramon.jpg,Champion
Kabuterimon,https://digimon.shadowsmith.com/img/kabuterimon.jpg,Champion
Andromon,https://digimon.shadowsmith.com/img/andromon.jpg,Ultimate
Togemon,https://digimon.shadowsmith.com/img/togemon.jpg,Champion
Numemon,https://digimon.shadowsmith.com/img/numemon.jpg,Champion
Monzaemon,https://digimon.shadowsmith.com/img/monzaemon.jpg,Ultimate
Ikkakumon,https://digimon.shadowsmith.com/img/ikkakumon.jpg,Champion
Unimon,https://digimon.shadowsmith.com/img/unimon.jpg,Champion
Leomon,https://digimon.shadowsmith.com/img/leomon.jpg,Champion
Ogremon,https://digimon.shadowsmith.com/img/ogremon.jpg,Champion
Devimon,https://digimon.shadowsmith.com/img/devimon.jpg,Champion
Frigimon,https://digimon.shadowsmith.com/img/frigimon.jpg,Champion
Mojyamon,https://digimon.shadowsmith.com/img/mojyamon.jpg,Champion
Sukamon,https://digimon.shadowsmith.com/img/sukamon.jpg,Champion
Centarumon,https://digimon.shadowsmith.com/img/centarumon.jpg,Champion
Bakemon,https://digimon.shadowsmith.com/img/bakemon.jpg,Champion
Elecmon,https://digimon.shadowsmith.com/img/elecmon.jpg,Rookie
Botamon,https://digimon.shadowsmith.com/img/botamon.jpg,Fresh
Punimon,https://digimon.shadowsmith.com/img/punimon.jpg,Fresh
Poyomon,https://digimon.shadowsmith.com/img/poyomon.jpg,Fresh
Yuramon,https://digimon.shadowsmith.com/img/yuramon.jpg,Fresh
Angemon,https://digimon.shadowsmith.com/img/angemon.jpg,Champion
Whamon,https://digimon.shadowsmith.com/img/whamon.jpg,Champion
Drimogemon,https://digimon.shadowsmith.com/img/drimogemon.jpg,Champion
Etemon,https://digimon.shadowsmith.com/img/etemon.jpg,Ultimate
